volgnr1z,buurtz,gebplmz,gebjrmz,relimz,bsmz,bersmz,berpmz,gebjrvz,gebplvaz,relivz,nrkindz,nrbodez,nrhgz,relhfdz,grondblz,pblz,patblz,totblz,jrhu1z,bervamz,bervavz,bermhuz,bervhuz,bergt1z,relgt1z,bergt2z,relgt2z,bergt3z,relgt3z,bergt4z,relgt4z,hugeldz,hulftaz,volgnr2z,hulftbz,bsvz,gebplvbz,vamasdz,pblvamz,vavasdz,pblvavz
200051,33,2,1823,1,1,198,220,1826,2,1,5,1,1,2,57,218,40,315,1848,0,234,610,0,540,2,210,2,540,7,321,6,0,25,200052,22,3,1,-1,-1,-1,-1
200101,23,1,1836,9,1,196,610,1835,1,9,3,1,0,-1,67,114,135,315,1862,0,540,215,0,610,2,540,3,321,6,610,7,1,25,200102,27,3,1,0,0,1,0
200151,8,1,1826,2,1,195,610,1828,1,8,1,1,0,-1,0,132,38,171,1861,0,540,610,0,321,5,610,5,610,7,231,7,1,34,200152,34,3,1,0,0,1,50
200201,25,2,1824,1,1,300,410,1824,3,1,1,2,0,-1,0,220,0,220,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,200202,-1,-1,-1,-1,-1,-1,-1
200251,5,1,1847,1,1,207,240,1851,2,1,4,9,1,2,380,717,320,1417,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,200252,-1,-1,-1,-1,-1,-1,-1
200301,29,1,1820,1,1,202,254,1850,1,1,3,0,0,-1,55,67,22,144,1861,0,0,211,0,211,2,211,2,322,5,220,5,1,31,200302,22,3,1,0,0,0,0
200351,42,2,1803,1,1,192,610,1835,1,6,3,2,0,-1,57,149,87,293,1857,420,540,650,0,650,5,610,5,110,7,690,7,2,23,200352,22,3,1,0,0,1,0
200401,36,1,1848,1,1,360,540,1851,1,1,5,0,0,-1,121,45,0,165,1872,210,210,210,0,210,2,210,3,210,5,210,7,1,23,200402,19,3,1,1,9,1,0
200451,13,1,1827,8,1,360,540,1845,2,8,0,1,0,-1,68,119,0,187,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,200452,-1,-1,-1,-1,-1,-1,-1
200501,10,1,1861,7,3,190,610,-1,-1,-1,0,0,0,-1,0,0,119,119,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,200502,-1,-1,-1,-1,-1,-1,-1
200551,13,1,1848,1,1,103,210,1855,2,1,1,0,1,1,68,160,27,255,1876,210,420,210,0,321,5,321,5,610,3,140,7,0,27,200552,24,3,1,1,62,1,27
200601,49,3,1844,1,1,224,120,1854,2,1,2,2,0,-1,0,101,14,116,1881,0,110,540,0,232,2,540,5,540,5,112,7,0,36,200602,27,3,2,0,0,1,0
200651,11,3,1845,1,1,207,240,1850,2,1,1,3,0,-1,0,63,83,147,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,200652,-1,-1,-1,-1,-1,-1,-1
200701,9,2,1839,1,1,61,210,1836,1,1,3,1,1,2,35,87,11,133,1863,0,696,210,0,210,5,210,5,220,5,220,7,1,24,200702,26,3,1,0,0,1,0
200751,8,1,1848,8,3,207,240,-1,-1,-1,0,1,0,-1,0,94,54,147,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,200752,-1,-1,-1,-1,-1,-1,-1
200801,44,1,1820,1,1,190,610,1828,5,1,0,0,2,2,0,93,77,169,1859,0,0,610,0,410,5,680,7,650,7,140,7,2,39,200802,31,3,5,0,0,0,0
200851,36,1,1835,1,1,41,234,1836,2,1,4,2,0,-1,121,86,38,246,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,200852,-1,-1,-1,-1,-1,-1,-1
200901,22,1,1834,9,1,12,215,1834,1,9,2,1,0,-1,119,61,2,182,1857,610,213,215,0,215,5,215,5,540,5,215,7,1,23,200902,22,3,1,1,999,1,0
200951,35,1,1828,8,3,190,610,-1,-1,-1,0,2,0,-1,0,259,0,259,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,200952,-1,-1,-1,-1,-1,-1,-1
201001,23,2,1838,9,1,304,421,1839,1,9,4,3,0,-1,0,475,0,475,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,201002,-1,-1,-1,-1,-1,-1,-1
201051,23,1,1822,1,1,32,210,1827,1,1,4,0,0,-1,100,54,38,192,1849,0,540,210,0,210,7,610,7,211,7,210,7,0,27,201052,23,3,1,0,0,1,0
201101,44,1,1829,1,1,370,330,1845,1,6,7,0,0,-1,56,64,17,137,1858,0,330,330,0,210,7,210,7,210,7,210,7,1,28,201102,26,3,3,0,0,1,0
201151,23,1,1825,1,2,303,411,1824,1,2,3,3,0,-1,130,210,0,340,1850,321,0,232,0,453,3,610,2,410,6,235,5,0,24,201152,25,3,1,1,0,0,0
201201,26,2,1846,8,1,190,610,1845,2,8,4,1,0,-1,47,129,38,214,1877,240,610,610,0,410,3,610,5,610,5,610,7,0,31,201202,32,3,2,0,0,1,0
201251,43,2,1817,1,1,200,112,1825,1,1,2,1,0,-1,57,178,0,235,1852,0,610,235,0,650,5,120,7,680,7,410,2,4,34,201252,27,3,1,0,0,1,0
201301,34,1,1841,8,1,238,680,1862,1,8,2,1,0,-1,288,269,38,595,1881,0,220,680,0,610,6,220,6,680,2,233,7,0,36,201302,18,3,1,0,0,1,376
201351,27,3,1838,1,2,202,254,1837,3,1,4,1,0,-1,26,161,26,212,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,201352,-1,-1,-1,-1,-1,-1,-1
201401,36,1,1842,1,2,230,650,1849,2,1,4,3,0,-1,0,172,87,259,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,201402,-1,-1,-1,-1,-1,-1,-1
201451,49,2,1832,1,1,173,260,1833,3,1,6,0,2,3,57,75,14,147,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,201452,-1,-1,-1,-1,-1,-1,-1
201501,11,1,1833,1,1,10,210,1835,1,1,0,1,1,1,64,53,19,135,1866,0,0,210,2,321,2,210,6,410,7,211,7,1,31,201502,29,3,1,0,0,0,0
201551,27,1,1858,8,1,168,213,1855,3,8,0,1,0,-1,29,63,38,130,1882,213,212,213,0,540,3,610,3,212,5,540,5,0,23,201552,26,3,3,1,94,0,0
201601,22,2,1844,1,1,190,610,1850,1,1,5,1,0,-1,26,93,113,232,1870,540,610,650,0,321,2,442,3,650,6,322,7,3,25,201602,19,3,1,1,58,1,120
201651,23,1,1852,1,1,239,650,1858,1,1,1,0,0,-1,0,76,87,163,1881,650,0,650,0,410,2,410,2,210,5,230,5,0,28,201652,22,3,1,1,76,0,0
201701,28,3,1841,1,1,251,231,1841,3,1,4,3,0,-1,0,190,87,277,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,201702,-1,-1,-1,-1,-1,-1,-1
201751,24,1,1822,8,2,360,540,-1,-1,-1,1,1,1,2,42,143,0,185,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,201752,-1,-1,-1,-1,-1,-1,-1
201801,4,2,1850,1,1,198,697,1853,1,1,2,0,0,-1,0,80,38,118,1877,697,220,697,0,110,7,540,7,211,7,696,7,0,27,201802,24,3,1,1,59,1,33
201851,22,1,1840,9,1,196,610,1840,2,9,5,3,1,2,0,171,64,235,1865,540,0,215,0,650,5,650,5,210,7,540,7,1,24,201852,25,3,2,1,0,0,0
201901,49,2,1837,1,1,100,110,1841,2,1,3,1,0,-1,69,150,198,417,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,201902,-1,-1,-1,-1,-1,-1,-1
201951,20,5,1825,1,1,239,650,1830,2,1,5,1,0,-1,44,75,30,149,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,201952,-1,-1,-1,-1,-1,-1,-1
202001,9,2,1825,8,1,360,540,1824,1,8,2,0,0,-1,104,41,0,145,1852,0,0,212,0,220,6,695,7,212,7,251,7,1,26,202002,27,3,1,0,0,0,0
202051,42,3,1838,1,3,360,540,-1,-1,-1,0,3,0,-1,0,166,0,166,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,202052,-1,-1,-1,-1,-1,-1,-1
202101,25,1,1859,2,1,210,130,1859,2,1,0,2,0,-1,0,197,0,197,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,202102,-1,-1,-1,-1,-1,-1,-1
202151,49,1,1849,9,1,239,650,1856,1,10,0,3,0,-1,52,148,113,313,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,202152,-1,-1,-1,-1,-1,-1,-1
202201,22,2,1825,9,1,231,650,1826,2,9,5,2,0,-1,0,104,87,191,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,202202,-1,-1,-1,-1,-1,-1,-1
202251,28,1,1823,1,3,238,680,-1,-1,-1,0,0,0,-1,0,124,87,212,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,202252,-1,-1,-1,-1,-1,-1,-1
202301,11,1,1834,1,1,224,120,1839,6,8,4,3,0,-1,0,83,68,151,1868,0,0,650,3,120,5,650,7,650,7,140,7,2,33,202302,32,3,5,0,0,0,0
202351,10,1,1826,10,1,360,540,1830,1,10,5,0,0,-1,85,33,0,118,1851,210,220,210,0,610,3,540,7,610,7,210,7,0,24,202352,25,3,1,1,0,1,0
202401,2,2,1837,9,1,320,410,1848,2,9,4,1,0,-1,43,109,0,152,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,202402,-1,-1,-1,-1,-1,-1,-1
202451,49,2,1842,1,1,207,240,1852,2,1,2,1,1,2,0,48,115,163,1867,610,610,211,1,211,2,211,5,211,7,210,7,1,35,202452,24,3,2,0,0,0,0
202501,40,1,1827,1,1,360,540,1833,1,1,0,0,0,-1,131,15,0,146,1867,0,0,210,0,540,5,221,7,321,7,410,7,1,30,202502,34,2,1,0,0,0,0
202551,15,1,1851,1,1,238,680,1857,3,1,1,1,0,-1,0,66,64,130,1881,0,230,680,0,610,2,610,2,442,7,610,2,0,30,202552,24,3,3,0,0,1,0
202601,9,1,1851,8,1,207,240,1849,3,8,6,2,0,-1,65,119,86,269,1873,322,0,220,0,210,6,220,3,220,7,410,7,2,22,202602,24,3,3,1,93,0,0
202651,34,1,1820,1,3,360,540,-1,-1,-1,0,1,0,-1,62,228,0,290,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,202652,-1,-1,-1,-1,-1,-1,-1
202701,49,3,1840,2,1,325,410,1846,2,1,4,2,0,-1,0,122,0,122,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,202702,-1,-1,-1,-1,-1,-1,-1
202751,8,1,1838,8,1,207,240,1845,1,8,7,2,0,-1,0,116,30,145,1862,210,210,240,0,240,2,210,7,211,7,110,7,2,23,202752,24,3,1,1,0,1,37
202801,35,1,1826,9,3,239,650,-1,-1,-1,0,1,0,-1,96,166,173,435,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,202802,-1,-1,-1,-1,-1,-1,-1
202851,23,6,1820,8,1,193,610,1822,1,8,3,0,0,-1,94,47,47,188,1853,0,231,220,0,321,5,540,3,220,7,240,7,1,32,202852,31,3,1,0,0,0,0
202901,4,1,1853,1,1,190,220,1857,1,1,5,2,0,-1,72,128,59,259,1877,220,0,220,0,220,2,640,2,210,5,235,7,0,23,202902,19,3,1,1,72,0,0
202951,25,1,1840,6,1,360,540,1854,1,6,3,2,0,-1,115,457,0,572,1872,120,111,111,0,120,2,111,2,610,2,421,6,4,31,202952,17,3,1,1,344,1,745
203001,16,1,1815,9,1,190,221,1826,2,9,5,1,1,3,36,76,14,126,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,203002,-1,-1,-1,-1,-1,-1,-1
203051,27,1,1843,1,1,239,650,1842,1,1,2,3,0,-1,52,83,26,161,1866,0,0,321,0,321,5,321,6,540,2,220,3,1,23,203052,24,3,1,0,0,0,0
203101,48,1,1839,5,1,239,650,1854,1,7,2,1,0,-1,68,101,30,199,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,203102,-1,-1,-1,-1,-1,-1,-1
203151,26,1,1819,8,2,360,540,1822,1,8,0,3,0,-1,68,166,0,234,1848,0,0,610,0,220,2,610,2,540,7,442,7,0,29,203152,26,3,1,0,0,0,0
203201,43,1,1818,2,2,190,610,1824,1,6,3,3,0,-1,83,254,346,683,1850,0,0,610,0,540,3,610,2,111,5,610,5,0,31,203202,25,3,1,0,0,0,0
203251,10,1,1835,9,1,238,680,1838,2,9,0,2,0,-1,0,84,38,123,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,203252,-1,-1,-1,-1,-1,-1,-1
203301,13,3,1846,1,1,190,610,1849,1,1,2,3,1,2,0,90,119,209,1878,231,213,696,0,231,1,320,2,213,5,650,5,0,32,203302,29,3,1,0,0,1,152
203351,33,1,1821,8,1,360,540,1834,2,8,8,2,0,-1,94,272,0,366,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,203352,-1,-1,-1,-1,-1,-1,-1
203401,18,2,1824,9,1,370,700,1826,1,9,3,0,0,-1,120,3,5,128,1850,0,0,210,0,330,7,210,7,330,7,330,7,0,27,203402,23,3,1,0,0,0,0
203451,1,1,1844,2,1,60,210,1845,1,1,7,3,0,-1,13,193,22,227,1870,211,252,210,0,211,2,211,5,540,7,340,7,1,25,203452,25,3,1,1,0,1,0
203501,40,1,1829,1,1,132,210,1829,3,1,3,0,0,-1,133,4,1,138,1853,443,211,210,0,443,2,210,7,234,7,212,7,1,23,203502,24,3,1,1,0,1,0
203551,20,1,1840,9,1,12,215,1847,1,9,8,1,0,-1,37,175,88,300,1865,210,0,212,1,420,7,210,7,210,7,540,7,0,22,203552,23,3,1,1,0,0,0
203601,42,3,1835,1,1,238,680,1839,3,1,10,0,0,-1,104,166,320,591,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,203602,-1,-1,-1,-1,-1,-1,-1
203651,36,1,1851,2,1,190,220,1861,1,1,2,0,0,-1,0,126,14,140,1880,0,650,220,0,210,2,610,3,110,6,610,7,0,28,203652,29,3,1,0,0,1,41
203701,25,2,1835,11,1,360,540,1837,2,11,5,0,1,2,0,149,0,149,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,203702,-1,-1,-1,-1,-1,-1,-1
203751,41,1,1824,8,1,360,540,1826,1,8,0,1,1,2,107,37,0,143,1858,0,540,240,1,310,7,210,7,210,7,540,7,0,34,203752,32,3,3,0,0,0,0
203801,2,1,1842,9,1,255,232,1850,1,9,2,1,0,-1,44,161,79,284,1872,232,0,232,0,680,2,232,3,110,6,233,6,3,29,203802,21,3,1,1,96,0,0
203851,37,5,1815,6,1,190,610,1826,5,6,4,0,0,-1,79,26,58,163,1854,0,260,321,0,212,7,210,7,212,7,210,7,1,38,203852,21,3,5,0,0,0,0
203901,4,1,1829,6,3,370,700,-1,-1,-1,0,0,0,-1,0,0,119,119,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,203902,-1,-1,-1,-1,-1,-1,-1
203951,8,1,1837,8,1,103,210,1842,1,8,2,0,0,-1,89,23,28,140,1863,210,0,210,0,443,5,254,5,211,2,210,2,1,25,203952,21,3,1,1,0,0,0
204001,33,1,1844,6,1,193,610,1845,3,5,5,3,0,-1,73,286,245,604,1875,0,110,610,0,110,5,110,5,540,3,540,3,0,30,204002,29,3,3,0,0,1,0
204051,21,1,1844,9,1,12,215,1849,1,9,7,1,1,3,26,84,2,112,1872,0,0,215,0,215,5,540,6,220,6,240,2,2,28,204052,23,3,1,0,0,0,0
204101,43,3,1825,5,2,232,650,1832,2,1,3,1,0,-1,44,98,38,181,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,204102,-1,-1,-1,-1,-1,-1,-1
204151,2,1,1841,9,1,12,215,1839,1,9,6,2,1,3,55,60,2,116,1869,215,540,215,0,540,4,215,2,215,7,210,7,0,28,204152,30,3,1,1,0,1,0
204201,11,3,1839,8,1,207,240,1843,1,8,0,0,2,2,0,86,26,112,1869,220,0,310,1,310,7,310,7,310,7,310,7,1,29,204202,25,2,1,0,0,0,0
204251,20,1,1836,1,1,32,214,1836,1,1,3,0,0,-1,39,104,31,174,1863,0,0,211,1,210,5,210,5,210,3,210,7,0,26,204252,27,3,1,0,0,0,0
204301,48,1,1837,2,1,360,540,1837,1,2,5,3,1,2,0,529,0,529,1860,650,0,650,0,650,2,610,3,420,5,120,5,4,22,204302,22,3,1,0,205,0,0
204351,43,1,1849,1,1,230,650,1849,6,11,6,3,0,-1,0,338,173,511,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,204352,-1,-1,-1,-1,-1,-1,-1
204401,43,1,1839,6,1,163,111,1847,1,6,1,1,0,-1,0,100,87,187,1871,111,321,111,0,111,1,111,2,111,2,540,2,2,31,204402,24,3,1,1,0,1,34
204451,22,1,1813,9,2,12,215,1819,1,9,6,1,0,-1,260,40,4,304,1841,215,215,215,0,215,2,215,2,215,7,210,7,0,28,204452,23,3,1,1,0,1,0
204501,44,1,1829,6,1,360,540,1815,1,1,0,1,0,-1,196,51,0,247,1860,210,0,212,3,211,2,210,3,212,3,650,7,1,31,204502,45,3,1,1,0,0,0
204551,12,1,1820,1,1,195,220,1826,1,6,0,1,0,-1,89,93,77,258,1847,220,0,540,0,220,2,220,2,540,6,210,6,0,26,204552,23,3,1,1,0,0,0
204601,33,1,1827,1,1,190,610,1835,5,1,7,2,0,-1,83,189,442,714,1860,610,540,610,0,610,2,231,2,680,6,610,6,2,32,204602,24,3,5,1,180,0,0
204651,36,1,1849,8,1,32,110,1858,1,8,3,3,0,-1,141,217,26,383,1880,610,610,110,0,540,5,540,2,540,5,110,7,0,31,204652,22,3,1,1,510,1,271
204701,36,1,1846,8,1,160,110,1846,1,8,2,2,0,-1,0,107,93,200,1870,110,610,110,0,610,5,210,6,234,6,610,6,2,23,204702,24,3,1,1,244,1,164
204751,36,1,1847,8,1,162,212,1845,2,8,4,1,0,-1,21,72,21,114,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,204752,-1,-1,-1,-1,-1,-1,-1
204801,8,1,1849,1,1,224,120,1854,1,1,4,0,0,-1,0,129,51,180,1873,540,240,120,0,650,3,610,5,430,5,650,7,2,24,204802,19,3,1,0,0,1,36
204851,23,3,1830,8,1,103,210,1836,1,8,4,0,0,-1,196,209,30,435,1862,210,210,210,2,210,1,210,2,210,7,252,7,1,32,204852,26,3,1,0,0,1,0
204901,7,1,1816,2,3,230,650,-1,-1,-1,0,1,3,2,0,76,237,312,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,204902,-1,-1,-1,-1,-1,-1,-1
204951,22,1,1827,8,1,360,540,1825,2,8,1,0,1,2,177,71,0,248,1851,540,610,140,0,540,6,210,6,240,6,410,6,0,24,204952,26,3,2,1,0,0,0
205001,49,1,1838,6,3,190,610,-1,-1,-1,0,2,1,2,0,152,22,174,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,205002,-1,-1,-1,-1,-1,-1,-1
205051,11,1,1838,1,1,360,540,1847,2,1,0,0,0,-1,0,907,0,907,1877,0,240,240,0,610,2,212,2,420,2,610,2,0,41,205052,29,3,2,0,0,0,0
205151,48,1,1841,1,1,81,110,1844,1,3,5,2,0,-1,42,149,0,191,1864,650,610,210,0,120,3,540,3,220,5,110,5,3,22,205152,21,3,1,1,66,1,112
205201,48,1,1830,7,1,190,610,1830,1,6,4,2,0,-1,109,352,191,652,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,205202,-1,-1,-1,-1,-1,-1,-1
205251,36,1,1823,2,3,360,540,-1,-1,-1,0,0,0,-1,57,110,0,168,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,205252,-1,-1,-1,-1,-1,-1,-1
205301,21,1,1843,10,1,360,540,1843,2,10,1,2,0,-1,44,110,0,154,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,205302,-1,-1,-1,-1,-1,-1,-1
205351,23,2,1815,9,1,190,610,1815,1,9,0,2,0,-1,263,409,198,870,1845,110,540,610,0,540,4,610,2,610,7,540,6,0,30,205352,32,3,1,0,0,1,0
205401,35,1,1819,1,1,259,322,1826,3,1,4,0,0,-1,39,99,22,160,1860,0,0,322,0,234,2,234,2,680,5,410,5,3,40,205402,33,3,3,0,0,0,0
205451,40,1,1832,6,1,224,120,1834,1,7,7,0,0,-1,86,20,14,121,1857,0,210,610,0,210,6,210,6,211,6,310,7,1,25,205452,22,3,1,0,0,1,0
205501,35,2,1848,1,1,251,231,1849,1,5,3,2,0,-1,68,123,26,216,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,205502,-1,-1,-1,-1,-1,-1,-1
205551,35,1,1823,8,1,360,540,1825,1,8,0,1,0,-1,111,49,0,159,1848,610,0,251,4,210,7,210,7,211,7,260,7,0,25,205552,22,3,1,1,0,0,0
205601,10,1,1828,1,1,41,234,1829,1,1,5,2,0,-1,0,96,38,134,1852,0,234,234,0,610,6,220,2,610,7,221,7,2,24,205602,23,3,1,0,0,1,0
205651,40,1,1840,6,1,32,214,1838,3,6,2,0,0,-1,26,44,47,117,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,205652,-1,-1,-1,-1,-1,-1,-1
205701,36,1,1808,1,2,360,540,1815,1,1,0,3,0,-1,63,310,0,373,1851,110,0,110,0,211,5,410,6,650,7,410,7,0,42,205702,36,3,1,1,0,0,0
205751,48,1,1848,3,1,238,680,1853,5,6,1,1,0,-1,0,123,26,148,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,205752,-1,-1,-1,-1,-1,-1,-1
205801,44,3,1816,1,1,103,210,1824,1,1,0,0,1,2,82,19,26,127,1844,210,210,310,0,310,2,610,6,240,7,210,7,0,27,205802,20,3,1,0,0,1,0
205851,20,1,1846,2,1,190,321,1848,3,2,0,0,0,-1,0,40,109,149,1872,0,0,321,0,210,2,210,2,610,7,610,7,2,25,205852,23,3,3,0,0,0,0
205901,24,1,1831,2,1,207,240,1834,1,1,2,1,1,2,52,121,14,187,1858,610,240,240,0,442,2,120,2,322,7,410,7,2,27,205902,24,3,1,1,66,1,133
205951,1,1,1843,8,1,190,610,1853,1,8,3,2,0,-1,125,289,127,541,1869,0,234,610,0,234,5,540,5,610,6,540,3,3,26,205952,22,3,1,0,0,1,230
206001,34,1,1838,8,1,207,240,1842,1,8,1,0,0,-1,68,49,101,218,1862,210,240,210,0,240,3,110,3,211,7,210,7,1,24,206002,20,3,1,1,0,1,33
206051,6,1,1817,6,1,360,540,1818,1,6,3,0,0,-1,100,35,0,135,1849,0,0,610,0,680,3,210,3,540,7,540,7,0,32,206052,31,3,1,0,0,0,0
206101,11,1,1839,6,3,230,650,-1,-1,-1,0,1,2,2,157,96,38,291,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,206102,-1,-1,-1,-1,-1,-1,-1
206151,5,2,1836,1,1,207,240,1814,2,1,0,0,1,2,47,110,52,210,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,206152,-1,-1,-1,-1,-1,-1,-1
206201,2,1,1832,8,1,224,120,1834,1,8,8,2,0,-1,0,112,316,428,1857,0,680,650,0,321,2,680,5,610,5,610,6,2,24,206202,23,3,1,0,0,1,84
206251,33,1,1822,6,1,190,610,1822,3,1,2,0,0,-1,91,41,80,212,1851,610,0,310,0,210,2,540,2,240,3,212,7,0,27,206252,28,3,3,1,0,0,0
206301,16,1,1826,9,3,360,540,-1,-1,-1,0,0,0,-1,3620,0,0,362,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,206302,-1,-1,-1,-1,-1,-1,-1
206351,47,3,1829,1,1,34,160,1833,3,1,3,0,0,-1,0,23,119,142,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,206352,-1,-1,-1,-1,-1,-1,-1
206401,20,3,1826,1,1,200,140,1827,1,1,7,2,0,-1,0,217,294,512,1852,442,210,140,0,540,2,231,2,610,6,210,6,2,26,206402,25,3,1,1,0,1,0
206451,36,1,1823,8,1,190,610,1820,2,8,0,2,0,-1,83,156,119,358,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,206452,-1,-1,-1,-1,-1,-1,-1
206501,22,1,1834,9,1,190,610,1840,1,9,0,2,0,-1,34,123,119,276,1861,210,610,540,0,650,5,540,5,443,7,650,7,2,26,206502,20,3,1,1,69,1,161
206551,19,1,1839,1,1,120,211,1839,2,8,2,0,0,-1,0,0,119,119,1867,211,210,211,0,211,2,210,3,210,7,210,7,0,27,206552,28,3,2,1,0,0,0
206601,47,2,1829,2,1,256,235,1836,3,2,2,1,0,-1,0,121,0,121,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,206602,-1,-1,-1,-1,-1,-1,-1
206651,24,1,1806,1,1,150,110,1825,6,2,2,4,0,-1,198,942,416,1556,1848,0,540,540,0,410,7,232,7,540,7,540,7,0,41,206652,22,3,5,0,0,0,0
206701,28,1,1835,1,3,360,540,-1,-1,-1,0,0,0,-1,39,88,0,127,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,206702,-1,-1,-1,-1,-1,-1,-1
206751,23,1,1844,6,3,190,610,-1,-1,-1,0,0,0,-1,0,0,237,237,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,206752,-1,-1,-1,-1,-1,-1,-1
206801,24,1,1845,6,1,190,610,1850,1,6,1,2,0,-1,0,154,0,154,1878,231,0,610,0,231,1,540,2,610,6,650,7,0,32,206802,27,3,1,1,633,-1,-1
206851,30,1,1833,5,1,160,110,1845,1,5,3,1,0,-1,0,98,79,177,1860,321,650,110,0,540,2,220,2,220,5,110,6,2,27,206852,26,3,3,1,44,1,85
206901,28,1,1841,6,2,190,610,1843,1,6,2,0,0,-1,230,229,237,695,1867,610,610,610,0,680,7,610,7,610,2,610,2,9,25,206902,23,3,1,1,664,0,0
206951,1,1,1839,6,2,103,210,1837,1,1,5,0,0,-1,77,27,33,137,1864,211,240,210,0,211,2,210,7,220,7,260,7,1,24,206952,27,3,1,1,0,1,22
207001,5,2,1841,1,1,160,240,1850,3,1,4,1,0,-1,0,27,320,347,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,207002,-1,-1,-1,-1,-1,-1,-1
207051,22,2,1829,1,3,360,540,-1,-1,-1,0,3,0,-1,0,412,0,412,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,207052,-1,-1,-1,-1,-1,-1,-1
